Question,Answer 1,Answer 2,Answer 3,correct
"When entering a tunnel during daytime, the driver should:",Turn on the regular headlights (low beam) and speed up,Turn on the regular headlights (low beam)  and slow down,Sound the horn,2
"At night, when driving behind another vehicle, you should:","Turn on the normal headlights (low
beam)",Turn on the high beam,Not use car headlights,1
"If a car approaches from the other direction while your high beam is on, you should:",Switch to normal headlights (low beam) immediately,Turn off lights,Switch between high and low beam repetitively,1
"When filling up your car with gas, you should:",Keep the engine running,Not care as it does not pose any threat,Turn off the engine,3
"If the traffic light turns yellow when your vehicle has already entered the intersection, you should:",Stop immediately in the middle of the intersection,Continue forward cautiously,Stare at the traffic light,2
"If you feel sleepy while driving, you should:",Take amphetamines and continue driving,Not be concerned as it will pass,Stop immediately at the side of the road to get some rest,3
"When approaching an intersection that has a traffic policeman regulating traffic and an active traffic light and fixed traffic sign, you should:",Follow the traffic policeman’s instructions,Follow the traffic lights,Heed the fixed traffic sign,1
"The moment you enter your vehicle, you should first perform the following necessary adjustments in order:","Fasten the seat belt, adjust the mirrors, and adjust your seat","Fasten the seat belt, adjust the seat, and adjust the mirrors","Adjust the seat, adjust the mirrors, and fasten the seat belt",3
"Everyday prior to driving the vehicle, the driver should:",Do a routine check of the various vehicle systems,Should not perform any routine checks as long as the engine is running,Listen to the weather forecast,1
It is okay while driving for the driver to:,Read the newspaper,Use the phone,"Listen to the radio at a
low volume",3
"The driver and passengers should
fasten their seat belt:","Before turning on
the car engine",Prior to setting off,"After a minute from
setting off",1
The purpose of the head rest is,To rest the head during the car trip,"To protect the neck in a rear end
collision","To be used as a pillow for sleeping during
long trips",2
The driver's ability to focus is impaired during driving due to:,Having an abundance in energy,Being sleepy and tired,Driving inside the city,2
Using a cell phone while driving impacts the drivers' ability to drive in a:,Positive way,Negative way,Both positive and negative way,2
The first advice for a driver that cosumed some alcohol is to:,Drive at low speeds,Refrain from driving until the side effects of alcohol have disappeared,Not to be bothered,2
"Driving under the influence of sleeping
medication is:",Delightful,Not dangerous,Dangerous,3
"If the gas pedal gets stuck while driving, the driver should immediately:",Pull the handbrake up,Change to a lower gear,"Put the gear on neutral, turn off the engine and stop on the side of the road",3
"If the car hood accidentally releases while driving down the road, you should immediately:",Increase your speed a little,Reduce your speed gradually and pull to the side of the road,Press firmly on the brakes,2
"To avoid being late during heavy rain, the driver should start his journey:",A bit earlier than usual,A bit later than usual,With good spirits,1
"Before stepping into the vehicle, the driver should:","Make sure he has
enough time on his hands",Look around and under the vehicle,Fasten the seatbelt,2
"While driving in heavy traffic, the driver should glance at his mirrors
every:",45 seconds,30 seconds,4 to 8 seconds,3
"Before turning right, the driver should glance at:",The left-side mirror only,The right-side mirror only,"All the mirrors, especially the right-side mirror and blind
spots",3
The biggest threat that vehicles parked on the right-side pavement pose to drivers passing close to them is:,"Pedestrians, and children, appearing suddenly from between these parked vehicles",Trash being thrown from them towards the passing vehicles,Loud sounds from the radios of these vehicles,1
The threat that vehicles parked on the right-side pavement bring  to drivers passing close to them is:,The alarm that would go off as the drivers cross next to these vehicles,The oppening of a car trunk,The fact that any of these parked vehicles could take off and join traffic at any time,3
"As a cautious driver, you should:","Take the right of
way by force as it is your right","Yield the right of
way to prevent road collisions",Never yield your right of way,2
"While driving and prior to hitting your brakes, you should first look:","In the mirrors, namely the rear-
view mirror",To your right,To your left,1
"When strong braking is applied, ABS in modern vehicles:","Should not make noise or cause the brake pedal to
pulsate","Would normally make noise and cause the brake
pedal to pulsate",Would normally cause the brake pedal to pulsate,2
